Username,Comment
@referbaru9368,"intinya, programmer harus bisa semua, S-E-M-U-A."
@ermanjunaidi1,"dulu saya loncat langsung Library tanpa fundamental dulu,langsung ngerjain project besar, Alhasil jadi Stuck Developer"
@andrianandri7088,"Kemarin saya coba ikut tes junior programmer, tes praktik soalnya udh di samain Atara junior dengan senior programmer bg, harus bisa PHP, JavaScript, json, Css, dan yang paling penting harus bisa dan ngerti rest API."
@haniyah7561,"Bang kan tadi ada poin paham konsep dasar, batasan minimal paham konsep dasar itu gimana biar mencoba(soalnya saya ngga berani apply karna mikirin apa mampu gitu) apa harus buat project kecil"" an thanks bang"
@puputaldiana5880,"mas saya bingung untuk memilih framework JS yg sekarang dan saya masih fresh graduate dan saya rasa akan sedikit kesusahan juga kalau memplejari semua framework js yg biasa dipakai oleh perusahaan contohnya : react, angular atau vue. adakah saran untuk memilih dari 3 contoh yg saya sebutkan saya harus pilih mana skrg ? atau saya nunggu sesuai perusahaan yg saya tempati biar diajarin sekalian sesuai standar mereka cuman takutnya para senior gak sempat ngajarin dan saya terlambat buat ngikutin gitu , mohon pencerahannya karena kemarin sempet interview di salah satu tempat saya tanya disini pakai framework js apa ada satu itu bilangnya kita menyesuaikan yg dibutuhkan takut nya 3 itu harus bisa juga dan saya cek linkedin nya emang iya 3 3 nya kecantum semua bahkan kelebihan 1 atau 2"
@raxanne,"tips bagi fg, kalian bisa dapet pekerjaan tanpa tau lebih dalam suatu framework, cukup ngerti atau scratch the surface dan buktiin klo bisa build sesuatu dari itu.

nanti waktu kerja bakal terlihat sendiri dalamnya framework itu wkwkk."
@user-qv6tj1fq1h,Terima kasih bnyak bang Dea sudah membagikan pengalamannya
@xshiro9376,"jangan lupa bikin mindset kalian positif, misal dikasih kerjaan/ ada bug langsung mikir aduh gakbisa gak kelar, dicoba dlu aja coba nyebur dulu jangan langsung negatif  gak bisa gak bisa"
@takGune-wd6gv,Ini yang saya suka dari bang dea yaitu membagikan pengetahuannya
@wildysheverando1955,"junior frontend web developer
1. paham php, js, go, perl, python, typescript, kotlin, c, c++,c#, ruby, html, css
2. Wajib bisa buat web ecommerce dalam 15 menit
Gaji 5Juta/Bulan

AOWKAIWOAOWIIWIAA"
